id,pesan,aktif
1,"Jangan menyerah, setiap langkah kecil berarti!",true
2,"Kesehatan adalah investasi terbaik untuk masa depan.",true
3,"Mulai hari ini dengan semangat baru!",true
4,"Setiap pilihan sehat adalah kemenangan.",true
5,"Kamu lebih kuat dari yang kamu kira.",true
6,"Jangan bandingkan dirimu dengan orang lain, fokus pada progresmu.",true
7,"Satu hari sehat lebih baik daripada tidak sama sekali.",true
8,"Tetap konsisten, hasil akan mengikuti.",true
9,"Jangan takut gagal, itu bagian dari proses.",true
10,"Tubuh sehat, pikiran kuat.",true
...
50,"Jangan lupa rayakan progresmu!",true